Name,Location,Beschreibung,Kategorie,Viertel,Google_Maps_Suche,Import_Status,Pruefstatus,id
ASTY Cabin,"99 Garak-dong, Songpa-gu, Seoul, South Korea","Serviced Residence, drei Gehminuten zur Station Garak Market, etwa 15 Minuten bis Jamsil. Eigene Küche, Waschmaschine, Trockner, Styler. Unter 100 Dollar pro Nacht, Mindestaufentha",Diverses,"Garak-dong, Songpa-gu",https://www.google.com/maps/search/?api=1&query=ASTY%20Cabin%2099%20Garak-dong%2C%20Songpa-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt38
E.Ruda Stay,"41, Jungang-ro 6-gil, Guro-gu, Seoul",Unterkunft mit auffallend großer Badewanne.,Diverses,Guro-gu,https://www.google.com/maps/search/?api=1&query=E.Ruda%20Stay%2041%2C%20Jungang-ro%206-gil%2C%20Guro-gu%2C%20Seoul,OK,vorhandene Adresse übernommen,tt37
Local Stitch Creator Town Seogyo,"460-25 Seogyo-dong, Mapo-gu, Seoul, South Korea","Unterkunft. Rezeption vorhanden, Wohnetagen nur per Schlüsselkarte, laut Creatorin auch allein sicher.",Diverses,Seogyo (Hongdae),https://www.google.com/maps/search/?api=1&query=Local%20Stitch%20Creator%20Town%20Seogyo%20460-25%20Seogyo-dong%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt33
The Shilla,"249 Dongho-ro, Jung-gu, Seoul 04605, South Korea",Hotel-Empfehlung aus dem Seoul-Guide mit Jennie.,Diverses,Jung-gu,https://www.google.com/maps/search/?api=1&query=The%20Shilla%20249%20Dongho-ro%2C%20Jung-gu%2C%20Seoul%2004605%2C%20South%20Korea,OK,neu recherchiert,tt39
1in1jan,"534 Yeonseo-ro, Eunpyeong-gu, Seoul 03308, South Korea","Café im Eunpyeong Hanok Village, laut Post vor allem wegen der Aussicht.",Food,Eunpyeong Hanok Village,https://www.google.com/maps/search/?api=1&query=1in1jan%20534%20Yeonseo-ro%2C%20Eunpyeong-gu%2C%20Seoul%2003308%2C%20South%20Korea,OK,neu recherchiert,tt23
ABP,"53 Toegye-ro 87-gil, Jung-gu, Seoul, South Korea","Bäckerei und Café in Sindang, dazu gibt es die ABP Lounge.",Food,Sindang-dong,https://www.google.com/maps/search/?api=1&query=ABP%2053%20Toegye-ro%2087-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt24
Camel Coffee (Seochon),"31 Hyoja-ro, Jongno-gu, Seoul, South Korea",Aus der persönlichen Seoul-Empfehlungsliste von @summerkittt.,Food,Seochon,https://www.google.com/maps/search/?api=1&query=Camel%20Coffee%20%28Seochon%29%2031%20Hyoja-ro%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt20
Casa Corona,"127-15 Itaewon-dong, Yongsan-gu, Seoul, South Korea","Nightlife-Spot in Itaewon, laut Post ein Ort, an den koreanische Influencer wirklich gehen.",Food,Itaewon,https://www.google.com/maps/search/?api=1&query=Casa%20Corona%20127-15%20Itaewon-dong%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt28
Gosari Express,"12-10 Toegye-ro 85-gil, Jung-gu, Seoul, South Korea",Aus der Sindang-Runde derselben Liste.,Food,Sindang-dong,https://www.google.com/maps/search/?api=1&query=Gosari%20Express%2012-10%20Toegye-ro%2085-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt25
Negi Live,"315-108 Seongsu-dong 2-ga, 5F, Seongdong-gu, Seoul, South Korea",Restaurant-Empfehlung aus dem Seoul-Guide mit Jennie für Chanel.,Food,Seoul,https://www.google.com/maps/search/?api=1&query=Negi%20Live%20315-108%20Seongsu-dong%202-ga%2C%205F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt27
Ology Espresso,"701 Hwanghak-dong, Jung-gu, Seoul, South Korea",Espresso-Bar in Sindang.,Food,Sindang-dong,https://www.google.com/maps/search/?api=1&query=Ology%20Espresso%20701%20Hwanghak-dong%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt26
Sanctrum Cafe,"20 Hannam-daero 21-gil, Yongsan-gu, Seoul, South Korea","Café in Hannam, aus derselben Empfehlungsliste.",Food,Hannam-dong,https://www.google.com/maps/search/?api=1&query=Sanctrum%20Cafe%2020%20Hannam-daero%2021-gil%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt21
Sinsajeon,"18 Dosan-daero 11-gil, Gangnam-gu, Seoul, South Korea",Makgeolli-Bar mit Honigwaben-Makgeolli.,Food,Seoul,https://www.google.com/maps/search/?api=1&query=Sinsajeon%2018%20Dosan-daero%2011-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,tt22
